0.205492 0.005764 0.005659 0.001585 0.002842 0.001017 0.001281 0.000246 0.000807 0.000240 0.000802 0.000723 0.000422 0.000444 0.000493 0.000710 0.000334 0.000322 0.000776 0.000268 0.000368 0.000134 0.000283 0.000118 0.000276 0.000364 0.000487 0.000483 0.000262 0.000107 0.000093 0.000044 0.000098
0.194802 0.007934 0.008339 0.002310 0.002695 0.002067 0.001080 0.001619 0.001378 0.001053 0.001287 0.000644 0.000556 0.000419 0.000815 0.000934 0.000324 0.000492 0.000968 0.000939 0.000727 0.000392 0.000322 0.000625 0.000381 0.000404 0.000591 0.000428 0.000844 0.000481 0.000301 0.000550 0.000056
0.185247 0.004558 0.003713 0.001721 0.000787 0.000178 0.000904 0.000291 0.000119 0.000270 0.000221 0.000221 0.000353 0.000112 0.000530 0.000449 0.000106 0.000364 0.000216 0.000453 0.000211 0.000554 0.000182 0.000051 0.000389 0.000334 0.000276 0.000112 0.000683 0.000560 0.000163 0.000200 0.000434
0.189627 0.003125 0.003719 0.003663 0.000961 0.001405 0.000170 0.000116 0.000444 0.000316 0.000057 0.000337 0.000183 0.000108 0.000306 0.000413 0.000491 0.000075 0.000166 0.000620 0.000334 0.000402 0.000287 0.000339 0.000446 0.000290 0.000222 0.000718 0.000153 0.000530 0.000273 0.000157 0.000301
0.186619 0.003088 0.004575 0.003398 0.001359 0.001320 0.001897 0.001281 0.000864 0.000638 0.000604 0.000750 0.000349 0.000695 0.000571 0.000526 0.000677 0.000397 0.001000 0.000156 0.000516 0.000159 0.000367 0.000456 0.000645 0.000284 0.000477 0.000591 0.000137 0.000592 0.000266 0.000384 0.000452
0.191545 0.010546 0.006698 0.002294 0.002642 0.001655 0.000922 0.001964 0.000736 0.000440 0.000800 0.000879 0.000842 0.000810 0.000751 0.000143 0.000859 0.000415 0.000100 0.000692 0.000615 0.000429 0.000355 0.000629 0.000585 0.000140 0.000356 0.000389 0.000625 0.000336 0.000209 0.000327 0.000028
0.206933 0.009044 0.007171 0.006554 0.002179 0.000780 0.000840 0.000808 0.000423 0.001140 0.000725 0.000711 0.000451 0.000737 0.000593 0.000500 0.000426 0.000474 0.000315 0.000379 0.000877 0.000654 0.000425 0.000397 0.000125 0.000532 0.000119 0.000396 0.000492 0.000491 0.000176 0.000429 0.000274
0.194715 0.010539 0.007518 0.006866 0.003177 0.001819 0.002446 0.001751 0.001240 0.001369 0.001277 0.001285 0.000884 0.000969 0.001155 0.001000 0.000940 0.000663 0.001143 0.000177 0.000473 0.001089 0.000491 0.000601 0.001032 0.000591 0.000618 0.000621 0.000198 0.000504 0.000591 0.000757 0.000323
0.178433 0.003316 0.005734 0.002500 0.001231 0.001514 0.001598 0.000531 0.000450 0.000530 0.000717 0.000537 0.000504 0.000499 0.000708 0.000540 0.000425 0.000605 0.000366 0.000450 0.000193 0.000587 0.000309 0.000650 0.000431 0.000349 0.000384 0.000086 0.000368 0.000223 0.000561 0.000152 0.000206
0.190571 0.008170 0.004620 0.000838 0.001469 0.000764 0.000342 0.000229 0.000458 0.000591 0.000363 0.000332 0.000282 0.000458 0.000351 0.000439 0.000094 0.000445 0.000160 0.000296 0.000236 0.000603 0.000445 0.000228 0.000550 0.000199 0.000523 0.000298 0.000588 0.000270 0.000177 0.000283 0.000602
0.192037 0.007369 0.004787 0.001154 0.000420 0.000528 0.000243 0.000091 0.000329 0.000377 0.000312 0.000741 0.000123 0.000224 0.000084 0.000309 0.000327 0.000110 0.000300 0.000528 0.000331 0.000160 0.000704 0.000194 0.000147 0.000154 0.000457 0.000378 0.000122 0.000227 0.000392 0.000157 0.000227
